,time,steps,apples,scores,wins
163,13:39:11,64,0,-10.64,False
164,13:39:11,64,0,-10.64,False
165,13:39:12,22,0,-10.21,False
166,13:39:12,1,0,-10.0,False
167,13:39:12,2,1,-7.420634920634921,False
168,13:39:12,1,0,-10.0,False
169,13:39:12,1,0,-10.0,False
170,13:39:12,89,1,-8.322634920634918,False
171,13:39:12,64,0,-10.630999999999998,False
172,13:39:13,64,0,-10.64,False
173,13:39:13,64,0,-10.64,False
174,13:39:14,64,0,-10.64,False
175,13:39:14,64,0,-10.64,False
176,13:39:15,64,0,-10.64,False
177,13:39:15,64,0,-10.64,False
178,13:39:15,1,0,-10.0,False
179,13:39:15,64,0,-10.64,False
180,13:39:16,40,0,-10.39,False
181,13:39:16,46,0,-10.45,False
182,13:39:16,64,0,-10.64,False
183,13:39:17,64,0,-10.64,False
184,13:39:17,2,0,-10.01,False
185,13:39:17,64,0,-10.64,False
186,13:39:17,53,0,-10.52,False
187,13:39:18,64,0,-10.64,False
188,13:39:18,64,0,-10.64,False
189,13:39:19,66,1,-8.092634920634918,False
190,13:39:19,64,0,-10.630999999999998,False
191,13:39:19,1,0,-10.0,False
192,13:39:19,64,0,-10.64,False
193,13:39:19,2,0,-10.01,False
194,13:39:20,64,0,-10.64,False
195,13:39:20,64,0,-10.64,False
196,13:39:21,64,0,-10.64,False
197,13:39:21,64,0,-10.64,False
198,13:39:21,1,0,-10.0,False
199,13:39:22,64,0,-10.64,False
200,13:39:22,64,0,-10.64,False
201,13:39:22,64,0,-10.64,False
202,13:39:23,64,0,-10.64,False
203,13:39:23,64,0,-10.64,False
204,13:39:24,64,0,-10.64,False
205,13:39:24,64,0,-10.64,False
206,13:39:24,64,0,-10.64,False
207,13:39:25,64,0,-10.64,False
208,13:39:25,10,0,-10.09,False
209,13:39:25,124,1,-8.672634920634918,False
210,13:39:26,32,0,-10.32,False
211,13:39:26,65,1,-8.082634920634918,False
212,13:39:26,64,0,-10.65,False
213,13:39:26,2,0,-10.01,False
214,13:39:27,64,0,-10.64,False
215,13:39:27,64,0,-10.64,False
216,13:39:27,1,0,-10.0,False
217,13:39:27,2,0,-10.01,False
218,13:39:27,1,0,-10.0,False
219,13:39:28,64,0,-10.64,False
220,13:39:28,30,0,-10.29,False
221,13:39:28,9,0,-10.08,False
222,13:39:28,2,0,-10.01,False
223,13:39:28,91,3,-3.0580710516351832,False
224,13:39:29,64,0,-10.65,False
225,13:39:29,6,1,-7.47163492063492,False
226,13:39:29,14,0,-10.14,False
227,13:39:29,37,0,-10.36,False
228,13:39:29,6,0,-10.05,False
229,13:39:29,64,0,-10.64,False
230,13:39:29,1,0,-10.0,False
231,13:39:30,64,0,-10.64,False
232,13:39:30,112,1,-8.571634920634919,False
233,13:39:31,32,1,-7.740634920634919,False
234,13:39:31,107,1,-8.493634920634918,False
235,13:39:31,5,0,-10.05,False
236,13:39:31,1,0,-10.0,False
237,13:39:32,64,0,-10.64,False
238,13:39:32,64,0,-10.64,False
239,13:39:32,7,0,-10.06,False
240,13:39:32,19,0,-10.18,False
241,13:39:32,3,0,-10.02,False
242,13:39:32,2,0,-10.01,False
243,13:39:32,1,0,-10.0,False
244,13:39:32,2,0,-10.01,False
245,13:39:33,39,0,-10.38,False
246,13:39:33,1,0,-10.0,False
247,13:39:33,20,0,-10.19,False
248,13:39:33,11,0,-10.1,False
249,13:39:33,1,0,-10.0,False
250,13:39:33,13,0,-10.12,False
251,13:39:33,53,0,-10.52,False
252,13:39:33,2,0,-10.01,False
253,13:39:33,24,0,-10.23,False
254,13:39:33,12,0,-10.11,False
255,13:39:34,51,1,-7.94363492063492,False
256,13:39:34,64,0,-10.630999999999998,False
257,13:39:34,64,0,-10.64,False
258,13:39:34,1,0,-10.0,False
259,13:39:35,24,0,-10.23,False
260,13:39:35,64,0,-10.64,False
261,13:39:35,64,0,-10.64,False
262,13:39:35,10,0,-10.09,False
263,13:39:35,2,0,-10.01,False
264,13:39:36,64,0,-10.64,False
265,13:39:36,65,1,-8.082634920634918,False
266,13:39:36,1,0,-10.0,False
267,13:39:37,64,0,-10.65,False
268,13:39:37,64,0,-10.63,False
269,13:39:37,64,0,-10.64,False
270,13:39:37,9,0,-10.08,False
271,13:39:38,64,0,-10.64,False
272,13:39:38,64,0,-10.64,False
273,13:39:38,1,0,-10.0,False
274,13:39:39,128,1,-8.731634920634919,False
275,13:39:39,64,0,-10.630999999999998,False
276,13:39:39,1,0,-10.0,False
277,13:39:40,64,0,-10.64,False
278,13:39:40,1,0,-10.0,False
279,13:39:40,64,0,-10.64,False
280,13:39:40,21,0,-10.2,False
281,13:39:41,64,0,-10.64,False
282,13:39:41,64,0,-10.64,False
283,13:39:42,64,0,-10.64,False
284,13:39:42,2,0,-10.01,False
285,13:39:42,64,0,-10.64,False
286,13:39:42,1,0,-10.0,False
287,13:39:42,64,0,-10.64,False
288,13:39:43,143,3,-3.6218571428571353,False
289,13:39:43,1,0,-10.0,False
290,13:39:44,64,0,-10.65,False
291,13:39:44,1,0,-10.0,False
292,13:39:44,64,0,-10.64,False
293,13:39:44,64,0,-10.64,False
294,13:39:45,64,0,-10.64,False
295,13:39:45,64,0,-10.64,False
296,13:39:45,30,0,-10.29,False
297,13:39:46,64,0,-10.64,False
298,13:39:46,10,0,-10.09,False
299,13:39:46,64,0,-10.64,False
300,13:39:46,15,0,-10.14,False
301,13:39:47,34,0,-10.33,False
302,13:39:47,64,0,-10.64,False
303,13:39:47,1,0,-10.0,False
304,13:39:47,64,0,-10.64,False
305,13:39:48,64,0,-10.64,False
306,13:39:48,2,0,-10.01,False
307,13:39:48,64,0,-10.64,False
308,13:39:48,2,0,-10.01,False
309,13:39:49,64,0,-10.64,False
310,13:39:49,64,0,-10.64,False
311,13:39:49,65,1,-8.082634920634918,False
312,13:39:49,2,0,-10.001,False
313,13:39:50,64,0,-10.64,False
314,13:39:50,1,0,-10.0,False
315,13:39:50,64,0,-10.64,False
316,13:39:51,64,0,-10.64,False
317,13:39:51,64,0,-10.64,False
318,13:39:52,64,0,-10.64,False
319,13:39:52,64,0,-10.64,False
320,13:39:52,64,0,-10.64,False
321,13:39:53,64,0,-10.64,False
322,13:39:53,7,0,-10.06,False
323,13:39:53,1,0,-10.0,False
324,13:39:53,64,0,-10.64,False
325,13:39:53,56,0,-10.55,False
326,13:39:54,64,0,-10.64,False
327,13:39:54,64,0,-10.64,False
328,13:39:55,64,0,-10.64,False
329,13:39:55,64,0,-10.64,False
330,13:39:55,64,0,-10.64,False
331,13:39:56,64,0,-10.64,False
332,13:39:56,2,0,-10.01,False
333,13:39:56,64,0,-10.64,False
334,13:39:57,64,0,-10.64,False
335,13:39:57,64,0,-10.64,False
336,13:39:57,17,0,-10.16,False
337,13:39:58,64,0,-10.64,False
338,13:39:58,64,0,-10.64,False
339,13:39:58,1,0,-10.0,False
340,13:39:58,64,0,-10.64,False
341,13:39:59,64,0,-10.64,False
342,13:39:59,64,0,-10.64,False
343,13:40:00,64,0,-10.64,False
344,13:40:00,64,0,-10.64,False
345,13:40:00,36,1,-7.75763492063492,False
346,13:40:01,64,0,-10.630999999999998,False
347,13:40:01,64,0,-10.64,False
348,13:40:01,2,0,-10.01,False
349,13:40:01,64,0,-10.64,False
350,13:40:02,64,0,-10.64,False
351,13:40:02,64,0,-10.64,False
352,13:40:03,64,0,-10.64,False
353,13:40:03,2,0,-10.01,False
354,13:40:03,1,0,-10.0,False
355,13:40:03,2,0,-10.01,False
356,13:40:03,64,0,-10.64,False
357,13:40:04,64,0,-10.64,False
358,13:40:04,64,0,-10.64,False
359,13:40:04,1,0,-10.0,False
360,13:40:04,64,0,-10.64,False
361,13:40:05,64,0,-10.64,False
362,13:40:05,64,0,-10.64,False
363,13:40:06,64,0,-10.64,False
364,13:40:06,64,0,-10.64,False
365,13:40:06,52,0,-10.51,False
366,13:40:07,48,0,-10.47,False
367,13:40:07,64,0,-10.64,False
368,13:40:07,64,0,-10.64,False
369,13:40:08,64,0,-10.64,False
370,13:40:08,2,0,-10.01,False
371,13:40:08,1,0,-10.0,False
372,13:40:08,64,0,-10.64,False
373,13:40:09,64,0,-10.64,False
374,13:40:09,64,0,-10.64,False
375,13:40:09,64,0,-10.64,False
376,13:40:10,64,0,-10.64,False
377,13:40:10,64,0,-10.64,False
378,13:40:11,64,0,-10.64,False
379,13:40:11,64,0,-10.64,False
380,13:40:11,1,0,-10.0,False
381,13:40:12,64,0,-10.64,False
382,13:40:12,64,0,-10.64,False
383,13:40:12,64,0,-10.64,False
384,13:40:13,64,0,-10.64,False
385,13:40:13,64,0,-10.64,False
386,13:40:14,64,0,-10.64,False
387,13:40:14,1,0,-10.0,False
388,13:40:14,1,0,-10.0,False
389,13:40:14,64,0,-10.64,False
390,13:40:14,1,0,-10.0,False
391,13:40:14,64,0,-10.64,False
392,13:40:15,102,1,-8.446634920634919,False
393,13:40:15,12,0,-10.101,False
394,13:40:15,27,0,-10.26,False
395,13:40:16,64,0,-10.64,False
396,13:40:16,64,0,-10.64,False
397,13:40:16,64,0,-10.64,False
398,13:40:17,64,0,-10.64,False
399,13:40:17,64,0,-10.64,False
400,13:40:17,1,0,-10.0,False
401,13:40:18,64,0,-10.64,False
402,13:40:18,64,0,-10.64,False
403,13:40:18,67,1,-8.121634920634918,False
404,13:40:19,64,0,-10.630999999999998,False
405,13:40:19,64,0,-10.64,False
406,13:40:20,66,1,-8.111634920634918,False
407,13:40:20,64,0,-10.630999999999998,False
408,13:40:20,1,0,-10.0,False
409,13:40:21,64,0,-10.64,False
410,13:40:21,2,0,-10.01,False
411,13:40:21,64,0,-10.64,False
412,13:40:21,64,0,-10.64,False
413,13:40:22,64,0,-10.64,False
414,13:40:22,64,0,-10.64,False
415,13:40:23,64,0,-10.64,False
416,13:40:23,1,0,-10.0,False
417,13:40:23,64,0,-10.64,False
418,13:40:23,2,0,-10.01,False
419,13:40:23,2,0,-10.01,False
420,13:40:23,2,0,-10.01,False
421,13:40:23,65,1,-8.082634920634918,False
422,13:40:24,64,0,-10.65,False
423,13:40:24,65,1,-8.082634920634918,False
424,13:40:25,64,0,-10.630999999999998,False
425,13:40:25,64,0,-10.64,False
426,13:40:25,2,0,-10.01,False
427,13:40:26,64,0,-10.64,False
428,13:40:26,2,0,-10.01,False
429,13:40:26,1,0,-10.0,False
430,13:40:26,64,0,-10.64,False
431,13:40:26,64,0,-10.64,False
432,13:40:27,64,0,-10.64,False
433,13:40:27,64,0,-10.64,False
434,13:40:27,2,0,-10.01,False
435,13:40:28,64,0,-10.64,False
436,13:40:28,64,0,-10.64,False
437,13:40:28,64,0,-10.64,False
438,13:40:28,1,0,-10.0,False
439,13:40:29,64,0,-10.64,False
440,13:40:29,66,1,-8.111634920634918,False
441,13:40:30,64,0,-10.630999999999998,False
442,13:40:30,2,0,-10.01,False
443,13:40:30,67,1,-8.121634920634918,False
444,13:40:30,2,0,-10.001,False
445,13:40:31,64,0,-10.64,False
446,13:40:31,64,0,-10.64,False
