,time,steps,apples,scores,wins
0,10:09:42,18,1,-7.659999999999997,False
1,10:09:42,2,0,-10.01,False
2,10:09:42,3,0,-10.02,False
3,10:09:42,4,0,-10.03,False
4,10:09:42,2,0,-10.01,False
5,10:09:42,18,0,-10.17,False
6,10:09:42,6,0,-10.05,False
7,10:09:43,35,0,-10.34,False
8,10:09:43,18,0,-10.17,False
9,10:09:43,15,0,-10.14,False
10,10:09:43,7,0,-10.06,False
11,10:09:43,16,0,-10.15,False
12,10:09:43,16,0,-10.15,False
13,10:09:43,19,0,-10.18,False
14,10:09:44,56,3,-3.019999999999996,False
15,10:09:44,8,0,-10.07,False
16,10:09:44,4,0,-10.03,False
17,10:09:44,9,0,-10.08,False
18,10:09:44,23,0,-10.22,False
19,10:09:44,3,0,-10.02,False
20,10:09:44,5,0,-10.04,False
21,10:09:44,15,0,-10.14,False
22,10:09:44,2,0,-10.01,False
23,10:09:44,7,1,-7.549999999999999,False
24,10:09:44,13,1,-7.609999999999998,False
25,10:09:44,14,0,-10.13,False
26,10:09:44,3,0,-10.02,False
27,10:09:44,3,0,-10.02,False
28,10:09:44,2,0,-10.01,False
29,10:09:44,9,0,-10.08,False
30,10:09:44,8,0,-10.07,False
31,10:09:44,7,0,-10.06,False
32,10:09:44,1,0,-10.0,False
33,10:09:44,5,0,-10.04,False
34,10:09:44,1,0,-10.0,False
35,10:09:44,9,0,-10.08,False
36,10:09:44,33,0,-10.32,False
37,10:09:44,4,0,-10.03,False
38,10:09:45,17,0,-10.16,False
39,10:09:45,2,1,-7.5,False
40,10:09:45,7,0,-10.06,False
41,10:09:45,9,0,-10.08,False
42,10:09:45,19,0,-10.18,False
43,10:09:45,1,0,-10.0,False
44,10:09:45,18,0,-10.17,False
45,10:09:45,7,0,-10.06,False
46,10:09:45,2,0,-10.01,False
47,10:09:45,9,0,-10.08,False
48,10:09:45,7,0,-10.06,False
49,10:09:45,18,1,-7.66,False
50,10:09:45,8,0,-10.07,False
51,10:09:45,8,0,-10.07,False
52,10:09:45,21,0,-10.2,False
53,10:09:45,6,0,-10.05,False
54,10:09:45,2,0,-10.01,False
55,10:09:45,29,1,-7.769999999999996,False
56,10:09:45,2,0,-10.01,False
57,10:09:45,2,0,-10.01,False
58,10:09:45,17,0,-10.16,False
59,10:09:46,4,0,-10.03,False
60,10:09:46,11,0,-10.1,False
61,10:09:46,44,0,-10.43,False
62,10:09:46,8,0,-10.07,False
63,10:09:46,10,0,-10.09,False
64,10:09:46,47,1,-7.949999999999994,False
65,10:09:46,9,0,-10.08,False
66,10:09:46,3,0,-10.02,False
67,10:09:46,17,0,-10.16,False
68,10:09:46,13,0,-10.12,False
69,10:09:46,3,0,-10.02,False
70,10:09:46,5,0,-10.04,False
71,10:09:46,1,0,-10.0,False
72,10:09:46,1,0,-10.0,False
73,10:09:46,12,0,-10.11,False
74,10:09:47,2,0,-10.01,False
75,10:09:47,2,0,-10.01,False
76,10:09:47,4,0,-10.03,False
77,10:09:47,17,1,-7.649999999999999,False
78,10:09:47,20,0,-10.19,False
79,10:09:47,1,0,-10.0,False
80,10:09:47,2,0,-10.01,False
81,10:09:47,7,0,-10.06,False
82,10:09:47,18,1,-7.659999999999998,False
83,10:09:47,4,0,-10.03,False
84,10:09:47,3,0,-10.02,False
85,10:09:47,9,0,-10.08,False
86,10:09:47,1,0,-10.0,False
87,10:09:47,30,1,-7.779999999999995,False
88,10:09:47,9,0,-10.08,False
89,10:09:47,25,0,-10.24,False
90,10:09:47,2,0,-10.01,False
91,10:09:47,32,3,-2.779999999999996,False
92,10:09:47,4,0,-10.03,False
93,10:09:47,13,0,-10.12,False
94,10:09:47,1,0,-10.0,False
95,10:09:47,10,1,-7.579999999999998,False
96,10:09:47,1,0,-10.0,False
97,10:09:48,17,0,-10.16,False
98,10:09:48,4,0,-10.03,False
99,10:09:48,9,0,-10.08,False
100,10:09:48,32,0,-10.31,False
101,10:09:48,10,0,-10.09,False
102,10:09:48,2,0,-10.01,False
103,10:09:48,5,0,-10.04,False
104,10:09:48,8,0,-10.07,False
